LAND TYPE,EXTENT in Acres ,Survey no. ,Lat,Long,CURRENT STATUS 
Lake ,19.05,28,12.8821,77.763867,Little water present 
Pond ,0.17,80,12.880112,77.763809,covered with soil
Pond ,0.08,43,12.881963,77.77361,Pond exists with water. Village diffuses its sewage water into it. 
Lake ,23.37,101,12.885372,77.77552,"The lake has water, but the graveyard has recently been created. "
Pond ,0.21,109,12.883645,77.77393,"Kalyani, Chowdeshwari temple, village water filter has been established. "
Lake ,16.03,137,12.889932,77.781764,Lake has been rejuvenated. Lake has been fenced and trees have been planted around. 
Lake ,0.34,148,12.888149,77.783028,Public road occupies the entire land. 
Dodda thimmasandra lake (part in Ittanguru) ,4.34,44,12.878971,77.796286,"Mud road, Acasia and bamboo "
Lake storage area,13,81,12.87288,77.782609,Lake is partially covered with soil and road is being built upon 
Government karab kere,33.35,115,12.886367,77.790595,"Lake is full of bamboo and Jali, construction waste being dumped"
Lake ,18.06,16,12.84595,77.767281,"Sabic has restored the lake, little water. "
Government well ,0. 20,31,12.844206,77.765925,"No water, villagers have encroached the land "
Pond ,0.21,90,12.852383,77.756511,Pond and temple 
Pond ,1.09,102,12.855155,77.759066,"water is present, illegal cultivation "
Pond ,0.09,122,12.849491,77.763533,"no water, bamboo tree all over "
Pond,0.32,4,12.794425,77.779735,"Compounded, temple and road "
Pond,2,13,12.789575,77.778306,"Pond is being covered by the villagers, Basaveshwara temple has been constructed "
Pond,0.17,41,12.785106,77.7764,Kunte has been covered and is being planted with native fruting trees. Styructure to store water fpr cattle 
Stream (Korakalu),0.15,48,12.784615,77.776731,Encroached by a villager for construction 
Pond,0. 10,49,12.784318,77.786389,Pond has been covered with construction waste 
Pond,0. 14,60,12.7897734,77.779531,Pond has been covered 
Lake ,74.17,119,12.795624,77.779979,Lake is full of water 
Lake ,4. 20,150,12.796437,77.769722,Lake doesn’t exist anymore. Land now belongs to Karnataka Housing board. 
Lake ,0.34,164,12.793227,77.767911,Pond is closed and the land is used for cultivation by the villagers.
lake bed,50.01,67,12.809906,77.776278,"Lake has water, it is full of bamboo and Jali trees "
Pond,0.24,75,12.813839,77.770941,Pond has been closed and is used for setting up waste recycling unit 
Lake bed,16.38,80,12.809906,77.776278,Lake has water.
Pond,0.01,2,12.788674,77.790539,Pond doesn’t exist. Ashwathkatte and water filter is established.  
Pond,0.03,5,12.7893,77.790801,"pond exists with water, Ashwath katte is being built "
Pond,2.36,48,12.784748,77.784856,Hillock covered and sanctioned under Ashreya yojana
Pond,0.07,76,12.794178,77.791955,pond has been covered up and encroached by the villagers. Munneshwara temple has been constructed. 
