LAND TYPE,EXTENT in Acres ,Survey no. ,Lat,Long,CURRENT STATUS ,
Cemmetry ,1.03,23,12.868847,77.833815,Cemmetry is still existing. Gowda and Reddy communities only can access this cemmetry. ,Mattnahalli  
Gunda thope ,0.34,41,12.868499,77.832381,This is converted into the graveyard for the SC ST community. ,Mattnahalli  
Gunda thope ,0.29,57,12.862149,77.830768,Gram Panchayat has compunded and is used by a villager for cultivation ,Mattnahalli  
Gunda thope ,0.25,66,12.862558,77.829688,"No trees present, it is cultivated by local villager ",Mattnahalli  
Gomala ,41.11,100,12.868499,77.832381,Entire land has been sanctioned to the villagers. Some land has also been sold. Some part of it is used for agriculture.,Mattnahalli  
Government Karab ,1.03,122,12.871259,77.821017,The land has been converted into road. The land is encroached by villagers for farming. ,Gudi Gattanahalli 
Government Gomala ,3.14,67,12.873966,77.816267,Local farmers are cultivating ragi and horse gram. The land was granted to the villagers and now it is being resold into layouts ,Gudi Gattanahalli 
Government Cattle road ,4.12,88,12.864952,77.81378,Entire land is encroached and villagers are farming.,Gudi Gattanahalli 
Government Karab ,0.32,15,,,"Fully encroached. Public road has been constructed, Village dairy, Ajanaya swamy temple has been constructed ",Dodda thimmasandra 
Government Karab ,0.03,19,,,"Fully encroached, Public road, houses are constructed and are used by BPL families. ",Dodda thimmasandra 
Government Grazing land ,0.06,20,12.879247,77.800743,Houses and public road. Encroached fully.,Dodda thimmasandra 
Government Karab ,0.09,24,12.880074,77.80584,"Villagers are cultivating fodder in part of the land, three tamrind trees. ",Dodda thimmasandra 
Gunda thope ,0.1,56,12.881978,77.806384,Ashwath Katte and Shani Deva temple occupies most of the land. ,Dodda thimmasandra 
Cemmetry ,0.09,82,12.877348,77.802604,Lingayat community uses this cemetry. Still intact ,Dodda thimmasandra 
Gomala ,49.36,86,12.878841,77.813205,"Land has been granted to the villagers, some part of it is used for cultivation, Nursery, Cement brick and hollow brick factories are being placed. Horticulture crops are being cultivated. ",Dodda thimmasandra 
Gunda thope ,0.37,92,,,,Dodda thimmasandra 
Government Gunda thope ,1.03,144,12.872135,77.800299,Vacant and engulfed by weeds,Dodda thimmasandra 
Gunda thope ,1. 30,171,12.877258,77.798524,"Vacant, The site is proposed for waste management facility. ",Dodda thimmasandra 
Thope ,0.27,13,12.86508,77.808645,"Ashwath katte, R.O filter, temples and over head tank have been established ",Thindlu 
Cemmetry,0.11,19,12.863344,77.810042,"The land has community graveyard belonging to 4 communities namely SC, Gowda, Reddy, Kurubas. ",Thindlu 
Government billeshwara thope ,0.03,43,12.858596,77.808357,6 big trees and the land is vacant ,Thindlu 
Government Agasara thope (dhobi),0.21,49,12.859279,77.809234,"Panchayat has fenced the land, a small shrine is built on the land. ",Thindlu 
Gomala ,28.32,108,,,,Thindlu 
Gomala ,6.33,124,12.859481,77.802065,Locals are cultivating jowar and ragi,Thindlu 
Gomala ,7.34,188,12.853969,77.812401,Locals are cultivating . ,Thindlu 
Cemmetry ,0. 20,1,,,graveyard used by muslims ,Pandithana Agrahara 
Gomala ,7.28,9,12.886672,77.827833,Land is being granted to villagers and the land is cultivated ,Pandithana Agrahara 
Karab ,0.38,18,12.882749,77.833089,"encroached and cultivated, case registered by revennue department on individuals who are farming",Pandithana Agrahara 
Karab ,1.23,23,12.880137,77.83311,"boarder of south pinakini, cultivation on this land. Fodder cultivation. ",Pandithana Agrahara 
Gomala ,13.03,57,No point,,Entire land has been granted to the villagers. ,Pandithana Agrahara 
Gomala ,23.34,92,12.883683,77.815695,"Few acres is granted to villagers and is used for cultivation, Rest of the are is being converted into housing- rajeev gandhi nagar, school and anganwadi ",Pandithana Agrahara 
Gomala ,23.34,52,12.877989,77.826469,Loca;ites are using this land for crop cultivation ,Pandithana Agrahara 
Amarai thope ,6.21,93,12.8824,77.815641,Rajiv Gandhi nagar is established on this survey number ,Pandithana Agrahara 
Gomala ,75.21,67,,,,Koothaganahalli 
Gomala ,61.06,68,,,,Koothaganahalli 
Gunda thope ,1.2,93,,,,Koothaganahalli 
Gomala ,8.12,142,,,,Koothaganahalli 
Government-- ,7.37,147,,,,Koothaganahalli 
Gomala ,13.06,46,,,,Kooguru 
gomala ,2.06,61,,,,Kooguru 
Duggalamma temple,0.09,91,,,,Kooguru 
Gunda thope ,1.15,93,,,,Kooguru 
Gunda thope ,2.23,94,,,,Kooguru 
Gunda thope ,2.06,99,,,,Kooguru 
Gomala ,8.12,100,,,,Kooguru 
Cemmetry ,0.15,138,,,,Kooguru 
Cemmetery ,2.35,169,,,,Kooguru 
Karab ,1.17,183,,,,Kooguru 
Karab ,1.27,187,,,,Kooguru 
Gomala ,18.13,188,,,,Kooguru 
Gomala ,27.25,31,,,"Land has been granted to the local villagers, Nilagiri plantations around the gomala, agriculture and horticulture are present. Part of the land has been sold as real estate projects and is compounded.",Banahalli
Gunda thope ,0. 20,2,12.901811,77.800519,"School, Anganwadi and Ashwath katte have been established. ",Chikkanahalli/Kaamahalli
Gomala ,64.32,71,12.907506,77.797846,"Land has been granted, Quarry is present, part of the land is used by the villagers for agriculture. ",Chikkanahalli/Kaamahalli
Gunda thope ,1.05,13,12.919224,77.814849,"Land has been fully encroached, cattle fodder is being cultivated. ",Madappanahalli 
Gomala ,21.39,38,12.92382,77.809514,"Public road, part of the land grows banana, mango and coconut. Land has been granted and villagers have constructed houses. ",Madappanahalli 
Karab ,0.27,44,12.923091,77.811337,Full of weeds like jali,Madappanahalli 
Gomala ,54.37,26,12.923214,77.824902,Gomala has been granted to the villagers and are used for cultivation. Some part of the land also encompasses quarry ,Deshpandeguttahalli 
Karab ,1.05,39,12.92295,77.832148,"Temple has been constructed, there is big native fig tree. ",Deshpandeguttahalli 
Gunda Thope ,1.28 acres,4,12.877911,77.760577,"temple, BPL family housing and converted into road ",Yamare 
Gunda Thope ,0. 10,44,12.873747,77.767226,Road is being built and some portion locals have encroached,Yamare 
Graveyard,1.02,46,12.873067,77.769123,compounded ,Yamare 
Village land  (Tana),0.09,52,12.870545,77.768557,"vaccant, locals have put make shift shed. ",Yamare 
Gomala,5,88,12.871378,77.767901,"Land has been granted to BPL families, some are cultivating and some have sold the land for real estate",Yamare 
Cemmetry ,6.16,132,12.876197,77.759586,cemmetry for general public,Yamare 
Cemmetry ,3.05,133,12.8676231,77.761091,Cemmetry for muslims,Yamare 
Gunda Thope ,2.11,175,12.872687,77.76065,Illegal cultivation by villagers. No trees found,Yamare 
Gomala ,5.12,195,12.869895,77.761203,"Vaccant, cases board being put up",Yamare 
Gunda Thope ,1.16,1,12.863203,77.764673,"dairy, R.O filter, public road ",Kada Agrahara
Gunda Thope ,0.25,10,12.862679,77.766479,"Housing for BPL families, Kaveramma temple ",Kada Agrahara
Gomala ,6.08,30,12.86293,77.755875,Village water tank,Kada Agrahara
Graveyard,0.06,49,12.861114,77.763066,"Graveyard, sluice channel on one side",Kada Agrahara
Village land  (Tana),0.07,55,12.862318,77.763625,Gowramma temple-damaged,Kada Agrahara
Graveyard,0.32,7,12.870821,77.776894,Common graveyard fr all the commuinities ,Sompura
Gomala,5.14,25,12.862798,77.773175,"ambedkar bhavan, Reshme sahakara sanga, SC colony, Agriculture ",Sompura
Gomala,18.17,36,12.86195,77.769383,Gomala is granted to BPL card holders and has been sold for real estate and now has compound wall. ,Sompura
Cattle waste land,0.18,61,12.86784,77.7752,"SC colony, temple ",Sompura
Gunda Thope ,0.14,68,12.86952,77.775049,ashreya houses ,Sompura
Muthurayaswamy temple,0.08,69,12.868562,77.774017,Muthuraya swamy temple ,Sompura
Gunda Thope ,2.25,8,12.881334,77.765398,Housing under Ashreya yojana ,Chambenahalli
Gunda Thope ,0.39,71,12.877293,77.765462,"Yamare gram panchayat, sub centre, sanjeevani work shed, Sree shakti training centre has been constructed in this land",Chambenahalli
Graveyard,0.06,102,12.882246,77.76338,Cemmetry converted into temple site ,Chambenahalli
Karab land (waste land) ,2. 10,142,12.895735,77.761105,vaccant site ,Chambenahalli
Gomala,4.32,147,No point,,Gomala is granted to villagers and vacant (no interventions can be planned) ,Chambenahalli
Gomala,85.31,39,12.885141,77.76807,"Granted to villagers for agriculture purpose, but some have been sold for villa socities ",Chambenahalli
Cemmetry ,0.12,56,,,,Chikkadunnasandra
Cemmetry ,0.17,6,,,,Thiggala chowdadenahalli
Gunda Thope ,0.12,7,,,,Thiggala chowdadenahalli
Gomala,31,24,,,,Thiggala chowdadenahalli
Gomala,35.1,26,,,,Thiggala chowdadenahalli
Karab land (waste land) ,0.39,121,,,,Thiggala chowdadenahalli
Unseen karab,5.37,,,,,Thiggala chowdadenahalli
Hillock ,0.11,41,12.8816,77.77438,Village community hall has been established. ,Valegere Kallahalli 
Gunda Thope ,0.16,51,12.880403,77.773033,Panchayat has fenced the land and there exists a pepul tree which is more than 100 years old.,Valegere Kallahalli 
Gunda Thope ,,70,12.880274,77.769612,"Muneshwara temple, choultry and Aswath Katte are present. ",Valegere Kallahalli 
Gomala,0.19,72,12.883782,77.774551,Storm water drain and pond exists. Remaining land is used for grazing.,Valegere Kallahalli 
Gunda Thope ,0.05,83,12.883854,77.772665,Land is vacant,Valegere Kallahalli 
Gomala,45. 20,98,12.888824,77.773614,Some part of the land has bee granted to the villagers and is used for agriculture purposes. One gated community has be set up. ,Valegere Kallahalli 
Government land ,3.36,100,12.88552,77.775904,Three temples are constructed and construction debris are present. Part of the land has a graveyard. ,Valegere Kallahalli 
Cemmetry ,0.27,104,12.884587,77.774841,Graveyard is used for grazing.it is no longer used cremation,Valegere Kallahalli 
Cemmetry ,0.04,106,12.884672,77.776123,Graveyard is used for grazing.it is no longer used cremation,Valegere Kallahalli 
Government land ,2.06,138,12.889765,77.782308,Vacant and used for grazing ,Valegere Kallahalli 
Government Anne ,1.33,156,12.886094,77.786307,Storm water drain and Anjanaya temple is established ,Valegere Kallahalli 
Gunda Thope ,3.13,13,12.885675,77.791659,converted into cemmetry ,Ittanguru
Quarry ,3,80,12.874998,77.787116,"4 temples being built, om shakthi, hanuman, maley madeshwara, amba bhavani, Community hall ",Ittanguru 
Gunda Thope ,0. 30,116,12.883675,77.789979,converted into cemmetry ,Ittanguru
Government Amarai,1.06,37,12.843509,77.763461,"open well, villagers have encroached and are cultivating ",B. Hosahalli 
Fodder storage area,0.24,42,12.847605,77.758961,"village dairy, samudhaya bhavana, Ashwath katte, Veerabadra swamy devasthana ",B. Hosahalli 
Fodder storage area,0.18,43,12.846394,77.763844,"Play ground, Public distribution system ",B. Hosahalli 
Government land ,1.09,55,12.843699,77.76003,"Muneshwara temple, 4 banyan tree ",B. Hosahalli 
Gomala ,101.04,85,12.84522,77.750891,"Neelgeri, ragi, some portion of the land is fenced ",B. Hosahalli 
Amarai thope,4.22,113,12.852388,77.76521,"Jali mara, peepul tree, Honge tree, small pond, other parts are encroached ",B. Hosahalli 
Karab road ,0.39,147,12.847387,77.766351,mud road,B. Hosahalli 
Gomala ,69.118,13,,,,Biddaraguppe 
Gunda thope ,1.17,18,,,,Biddaraguppe 
Gunda thope ,2.01,31,,,,Biddaraguppe 
Gunda thope ,0.38,40,,,,Biddaraguppe 
Government Karab ,1.18,66,,,,Biddaraguppe 
Government Karab ,0.21,71,,,,Biddaraguppe 
Government Karab ,2.01,82,,,,Biddaraguppe 
Karab land ,1.03,111,,,,Biddaraguppe 
Cemmetry,2.11,263,,,,Biddaraguppe 
Dodda kere,69,264,,,,Biddaraguppe 
Government Karab ,0. 10,266,,,,Biddaraguppe 
Hillock,0.39,329,,,,Biddaraguppe 
Village land (Gramatana),2.03, --,12.791818,77.777545,housing complexes ,Indlabele
Village land (Gramatana),12, --,12.791818,77.777545,Extention village ,Indlabele
Government land ,0.12,34,12.7809223,77.774175,"Muneshwara temple, Navagraha temple, new plants have been planted ",Indlabele
Gomala ,11.23,39,12.787431,77.777177,"SC colony, amedkar bhavan, R.O filter and two temples ",Indlabele
Gunda thope ,1.02,62,12.788679,77.781037,Badrakali temple and muneshwara temple has been constructed ,Indlabele
Cemmetry,0.21,105,12.795017,77.781888,commetry used by kuruba community ,Indlabele
Gomala ,21.11,77,12.812715,77.776912,Land has been granted to the villagers and now used for agriculture. ,Arenuru
Gunda thope ,1.32,79,12.810992,77.77578,"Over head tank, Maheshwari gudi, Lower primary school ",Arenuru
Cemmetry,0.29,84,12.808856,77.779801,Cemmetry used by hindus ,Arenuru
Gunda thope ,0. 24,94,12.811187,77.776456,compunded by the panchayat for school ground ,Arenuru
Gunda thope ,0. 32,70,12.809271,77.76991,Muneshwara temple has been constructed ,Arenuru
Gomala ,9,2,,,,Jiggala
Gunda thope ,2.11,29,,,,Jiggala
Gunda thope ,2.02,30,,,,Jiggala
Gunda thope ,0.25,45,,,,Jiggala
Cemmetry,0.19,98,,,,Jiggala
Government Mantapa,0.08,83,,,,Jiggala
Cemmetry,0.13,104,,,,Jiggala
Gomala ,3.03,221,,,,Jiggala
Government Karab , --, --,,,,Jiggala
Gunda thope ,0.24,12,12.787398,77.787335,"Fruiting trees being planted by the panchayat, compunded ",Chikkanahalli
Gomala ,8.15,52,12.78741,77.7882,Gomala is currently being used for agriculture ,Chikkanahalli
Gomala ,6.36,53,12.78932,77.788487,Gomala has been granted to the villagers ,Chikkanahalli
Cemmetry,0.17,65,12.792301,77.789799,cemmetry exists ,Chikkanahalli
Government land ,0.16,73,12.793842,77.789142,borewell has been installed for village water supply. ,Chikkanahalli
